,convergence,iterations,fitness evaluations,average fitness
0,True,116,1012,0.2775
1,True,251,1957,0.3132142857142857
2,True,0,200,0.1869388528138528
3,True,89,823,0.26379761904761906
4,True,179,1453,0.29225
5,True,34,438,0.23204761904761906
6,True,0,200,0.19202572427572429
7,True,31,417,0.24348809523809523
8,True,0,200,0.19043953677041914
9,True,13,291,0.21406746031746032
10,True,164,1348,0.30625
11,True,64,648,0.2567976190476191
12,True,39,473,0.22901190476190478
13,True,0,200,0.19519522144522142
14,True,0,200,0.19999494949494948
15,True,0,200,0.19556239104033224
16,True,0,200,0.19306076766370886
17,True,3,221,0.2008988095238095
18,True,62,634,0.2580833333333334
19,True,116,1012,0.2844166666666667
20,True,19,333,0.21248214285714284
21,True,65,655,0.2456666666666667
22,True,0,200,0.1958161234190646
23,True,12,284,0.20500198412698414
24,True,91,837,0.27325000000000005
25,True,0,200,0.19936315073815072
26,True,168,1376,0.30325
27,True,0,200,0.19629238816738817
28,True,0,200,0.1888534472063884
29,True,102,914,0.26455555555555554
