,convergence,iterations,fitness evaluations,average fitness
0,True,233,1681,0.51
1,True,24,218,0.2753333333333334
2,True,27,239,0.2938571428571429
3,True,118,876,0.4116666666666666
4,True,32,274,0.3036666666666667
5,True,77,589,0.4016666666666666
6,True,207,1499,0.51
7,True,27,239,0.29133333333333333
8,True,15,155,0.2771904761904762
9,True,267,1919,0.5066666666666666
10,True,116,862,0.4049999999999999
11,True,32,274,0.289
12,True,67,519,0.32722222222222214
13,True,29,253,0.29766666666666663
14,True,118,876,0.43999999999999995
15,True,146,1072,0.41666666666666663
16,True,72,554,0.3283333333333333
17,True,0,50,0.1957070707070707
18,True,115,855,0.34733333333333327
19,True,115,855,0.45733333333333326
20,True,77,589,0.3899999999999999
21,True,117,869,0.4606666666666666
22,True,0,50,0.21919119769119766
23,True,51,407,0.345
24,True,80,610,0.3999999999999999
25,True,56,442,0.37666666666666665
26,True,0,50,0.20347326649958228
27,True,54,428,0.3183333333333333
28,True,101,757,0.37666666666666665
29,True,0,50,0.2010952380952381
