,convergence,iterations,fitness evaluations,average fitness
0,False,1415,10005,0.5
1,True,150,1150,0.5025
2,True,30,310,0.2895
3,False,1415,10005,0.5
4,True,980,6960,0.5025
5,True,597,4279,0.5033333333333333
6,True,161,1227,0.44366666666666676
7,False,1415,10005,0.49700000000000005
8,True,115,905,0.49
9,True,0,100,0.21102056277056275
10,True,0,100,0.19849314574314572
11,True,91,737,0.4191666666666667
12,True,9,163,0.22132142857142856
13,True,1056,7492,0.505
14,True,0,100,0.2051313131313131
15,True,14,198,0.24296428571428572
16,True,0,100,0.20517864488452722
17,True,0,100,0.19351659451659453
18,True,0,100,0.19688214563214562
19,True,36,352,0.2811666666666667
20,True,0,100,0.20817261904761908
21,True,7,149,0.21714682539682534
22,True,0,100,0.1988767343767344
23,True,55,485,0.29100000000000004
24,True,19,233,0.25895238095238093
25,False,1415,10005,0.49700000000000005
26,True,1045,7415,0.502
27,True,34,338,0.2615
28,True,55,485,0.32916666666666666
29,True,55,485,0.3325000000000001
