,convergence,iterations,fitness evaluations,average fitness
0,True,0,20,0.266271645021645
1,True,64,468,0.5166666666666666
2,True,24,188,0.3666666666666666
3,True,205,1455,0.5125
4,True,14,118,0.3170833333333333
5,True,261,1847,0.5166666666666667
6,True,52,384,0.4708333333333333
7,True,2,34,0.3158333333333333
8,True,104,748,0.5125
9,True,194,1378,0.51
10,True,42,314,0.40714285714285714
11,True,426,3002,0.525
12,True,142,1014,0.5166666666666667
13,True,90,650,0.5166666666666666
14,True,179,1273,0.5166666666666666
15,True,51,377,0.4305555555555555
16,True,107,769,0.5125
17,True,11,97,0.3075
18,True,9,83,0.2941666666666667
19,True,83,601,0.525
20,True,69,503,0.3916666666666666
21,True,62,454,0.5041666666666667
22,True,8,76,0.29583333333333334
23,True,40,300,0.41666666666666663
24,True,58,426,0.4541666666666667
25,True,55,405,0.4458333333333333
26,True,55,405,0.37499999999999994
27,True,333,2351,0.5071428571428571
28,True,0,20,0.23396520146520153
29,True,21,167,0.4083333333333333
